unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
1975,31,Y,2,0,Y,N,Y,N,N,2,19,1,SINGLE,33,3,RENT_DEPOSIT,4,4,,,3,,,3,2,1,2,4,3,4,,,,,,,,3
5738,36,N,2,0,Y,Y,N,N,N,1,21,4,ETC,49,3,RENT_DEPOSIT,4,1,1,WORK,1,1,WORK,4,4,3,3,3,1,,ETC,service_worker,1,1,60,0,3,3
148,31,Y,3,1,Y,N,Y,N,N,1,21,1,SINGLE,30,4,RENT,3,2,1,WORK,2,1,WORK,2,2,2,3,3,1,,CONSTRUCTION,simple_worker,3,2,48,0,5,1
1243,31,Y,3,1,Y,N,Y,N,N,2,22,3,SMALL_FLAT,44,1,OWN,3,2,4,HOUSEWORK,1,3,CHI_CARE,3,3,5,2,3,3,2,,,,,,,,4
11260,33,N,3,1,Y,Y,N,N,N,2,23,2,APT,50,3,RENT_DEPOSIT,4,1,1,WORK,1,1,WORK,3,5,2,4,3,1,,HOTEL_RESTAU,simple_worker,1,2,36,0,3,4
2411,11,Y,3,1,Y,N,Y,N,N,1,23,1,SINGLE,44,3,RENT_DEPOSIT,5,2,1,WORK,1,1,WORK,3,3,1,4,4,1,,HOTEL_RESTAU,service_worker,1,1,80,0,1,3
9707,25,N,2,0,Y,N,Y,N,N,2,23,3,SMALL_FLAT,69,2,JEONSE,3,2,4,HOUSEWORK,2,8,ETC,2,2,3,4,5,3,2,,,,,,,,4
9965,25,N,3,1,Y,N,Y,N,N,1,23,1,SINGLE,33,2,JEONSE,3,1,6,MOVETIME,1,1,WORK,2,2,2,2,3,1,,PROFESSIONAL_SER,office_worker,1,1,45,0,1,2
1993,31,Y,3,1,Y,N,Y,N,N,2,23,2,APT,64,5,COMPLIMENTARY,3,4,,,4,,,3,1,1,4,3,3,2,,,,,,,,3
10910,33,N,3,1,Y,Y,N,N,N,1,24,2,APT,60,2,JEONSE,5,3,,,2,1,WORK,2,4,4,3,3,1,,WHOLESALE_RETAIL,saler_worker,1,1,66,0,3,3
6646,35,N,2,0,Y,N,Y,N,N,1,24,2,APT,132,1,OWN,4,3,,,2,3,CHI_CARE,3,3,3,2,3,1,,ETC,service_worker,1,1,40,0,1,2
3867,22,N,2,0,Y,N,N,Y,N,1,24,1,SINGLE,23,3,RENT_DEPOSIT,2,4,,,1,5,SOCIALIZING,4,4,3,3,3,3,7,,,,,,,,2
5153,24,N,2,0,Y,N,N,Y,N,2,24,1,SINGLE,28,3,RENT_DEPOSIT,2,2,5,SOCIALIZING,1,1,WORK,2,4,3,3,4,1,,EDUCATION,expert,1,1,48,0,1,3
4029,22,N,2,0,Y,Y,N,N,N,1,25,1,SINGLE,32,3,RENT_DEPOSIT,4,2,1,WORK,1,1,WORK,4,4,2,3,4,1,,ETC,simple_worker,4,,40,0,3,2
526,23,Y,2,0,Y,Y,N,N,N,2,25,4,ETC,64,2,JEONSE,6,1,1,WORK,1,1,WORK,2,3,1,3,3,1,,IT,expert,1,1,45,0,1,2
694,23,Y,3,1,Y,Y,N,N,N,2,25,2,APT,56,2,JEONSE,4,1,4,HOUSEWORK,1,3,CHI_CARE,4,5,3,4,4,1,,HOTEL_RESTAU,saler_worker,3,2,30,0,5,2
202,31,Y,4,2,Y,Y,N,N,N,2,25,2,APT,69,2,JEONSE,4,1,3,CHI_CARE,2,3,CHI_CARE,3,3,2,3,4,1,,MANUFACTURE,skill_own_worker,5,,20,0,5,3
11851,32,N,2,0,Y,Y,N,N,N,2,25,2,APT,54,3,RENT_DEPOSIT,7,2,1,WORK,2,1,WORK,1,1,1,4,5,1,,SOCIAL_WELFARE,expert,1,1,40,0,1,2
12191,32,N,4,2,Y,Y,N,N,N,1,25,2,APT,89,2,JEONSE,4,2,6,MOVETIME,1,6,HEALTH,3,2,3,3,4,1,,WHOLESALE_RETAIL,office_worker,1,1,40,0,1,3
9655,25,N,4,2,Y,N,Y,N,N,1,25,3,SMALL_FLAT,66,2,JEONSE,2,1,1,WORK,1,1,WORK,3,4,2,4,3,1,,WHOLESALE_RETAIL,saler_worker,1,1,55,0,1,3
9860,25,N,2,0,Y,N,Y,N,N,1,25,2,APT,94,1,OWN,3,2,6,MOVETIME,3,,,1,2,1,4,7,1,,PROFESSIONAL_SER,expert,1,1,50,0,1,2
6740,35,N,2,0,Y,N,Y,N,N,2,25,2,APT,50,2,JEONSE,5,4,,,4,,,1,1,1,3,5,3,3,,,,,,,,1
7231,39,N,3,1,Y,N,Y,N,N,2,25,3,SMALL_FLAT,89,4,RENT,3,3,,,2,3,CHI_CARE,3,2,2,3,5,3,1,,,,,,,,2
7516,21,N,2,0,Y,Y,N,N,N,1,26,1,SINGLE,29,3,RENT_DEPOSIT,5,1,1,WORK,1,1,WORK,4,5,1,4,4,1,,MANUFACTURE,machine_tech,1,1,50,0,2,4
8015,21,N,2,0,Y,Y,N,N,N,2,26,1,SINGLE,19,3,RENT_DEPOSIT,4,2,1,WORK,2,1,WORK,2,3,2,2,4,1,,ETC,service_worker,2,1,45,0,1,3
